epoch,train_loss,val_metric
1,0.9086103474840205,0.6018529328927706
2,0.5477588422754978,0.8539991061328477
3,0.36258877763088715,0.8831950133561689
4,0.31770701104022087,0.8893147343312174
5,0.2984048068523407,0.8959926684930172
6,0.28426148105174937,0.8985164907850335
7,0.2743633364109283,0.8995216153259715
8,0.26614394504973227,0.9038462994048406
9,0.26195081592874325,0.9052543280378322
10,0.25853408372148556,0.9049753487836715
11,0.25181388049683673,0.9066073630000989
12,0.2481805641164488,0.9072202634567398
13,0.24978928242592102,0.9087384272273982
14,0.24270598400146404,0.9075943174110582
15,0.24098178858452654,0.9036074280633076
16,0.23845118861249154,0.9098153028683597
17,0.2363548126943568,0.9082424076752815
18,0.236032734969829,0.9097835140309736
19,0.23901785574060805,0.9108015499282712
20,0.23234812401710672,0.9103016152277424
