epoch,train_loss,val_metric
1,2.6903679791618798,0.059276366435719784
2,2.5319774992325725,0.35604311008468054
3,2.246929982129265,0.4168591224018476
4,2.040651047930998,0.4603541185527329
5,1.9090147474232841,0.5092378752886836
6,1.8093757138532751,0.5550423402617398
7,1.7301941654261421,0.5785219399538106
8,1.6657675189130448,0.5958429561200924
9,1.609494332004996,0.6143187066974596
10,1.5635225211872774,0.6301000769822941
11,1.5233272033579208,0.6351039260969977
12,1.4895885516615475,0.6462663587374904
13,1.461068619700039,0.655504234026174
14,1.435381763121661,0.6585835257890685
15,1.414042690221001,0.6651270207852193
16,1.3998876599704517,0.6682063125481139
17,1.3876701628460604,0.672440338722094
18,1.3769004344940186,0.6735950731331793
19,1.3717587169478922,0.6755196304849884
20,1.36737063702415,0.6762894534257121
