epoch,train_loss,val_metric
1,0.9496196873644565,0.615323328181746
2,0.5559440626742992,0.7778261488337671
3,0.4167342438342723,0.8592459619921473
4,0.3711268005218912,0.8730633736596557
5,0.3482427990182917,0.8800706526623884
6,0.3347685805660613,0.883623569323931
7,0.3214335732003476,0.888309412735327
8,0.315434197479106,0.8903430485555716
9,0.30752916386786927,0.8908027708824949
10,0.30109968787812175,0.89171647680507
11,0.2977631736943062,0.8931112221498458
12,0.29352425200508,0.8931909527430507
13,0.2891900102825875,0.895176291790594
14,0.2893120905186268,0.895336377036491
15,0.28755778904925,0.896559606819516
16,0.2833293880553956,0.8971090916434478
17,0.2838957388350304,0.8976890337439475
18,0.2813879085348008,0.8979345856814147
19,0.2809508790995212,0.8983504339248972
20,0.2856386915800419,0.8984791183780217
