epoch,train_loss,val_metric
1,0.9498489126246026,0.6018903797178484
2,0.6655524778873363,0.6643449993428977
3,0.5443973920446761,0.720838872912376
4,0.48282786506287595,0.7651922482839547
5,0.4473130533035765,0.7963996582297745
6,0.42290043602598476,0.8102416670032238
7,0.4061194135787639,0.8221105377155911
8,0.39223761349282366,0.8283623420216345
9,0.3824624149089164,0.8334722108265586
10,0.3746522968119763,0.8386665048227604
11,0.36737955111138365,0.841488681666543
12,0.36264927336510194,0.8449251546270182
13,0.35702742445976177,0.8458751718590986
14,0.3538872444249214,0.8471994786916951
15,0.35279667187244335,0.8497685297426032
16,0.3479433129442499,0.8510548782067677
17,0.34853357710736865,0.852769007684337
18,0.3455051355539484,0.8540849447408976
19,0.3459303280140491,0.8546417555282434
20,0.3455078367223131,0.8543437677548645
