epoch,train_loss,val_metric
1,2.649033378152286,0.09738260200153964
2,2.528870940208435,0.27136258660508084
3,2.336400698213016,0.3468052347959969
4,2.1701748371124268,0.4080061585835258
5,2.0554639802259556,0.43494996150885296
6,1.9701793123694027,0.45804464973056197
7,1.9010064356467302,0.4838337182448037
8,1.846291787484113,0.5092378752886836
9,1.8012354549239664,0.5296381832178599
10,1.7577655420583838,0.5500384911470362
11,1.7238048981217777,0.565050038491147
12,1.696218406452852,0.5804464973056197
13,1.6691242561620825,0.5858352578906851
14,1.6470892850090475,0.5969976905311778
15,1.630787663600024,0.6020015396458814
16,1.6139933186418869,0.6077752117013087
17,1.6021504051545088,0.611239414934565
18,1.592933062244864,0.6123941493456505
19,1.5867101479979122,0.613548883756736
20,1.5851834556635689,0.6139337952270978
