epoch,train_loss,val_metric
1,1.0089544593019688,0.7073750864207846
2,0.5170139392639729,0.8617421866611584
3,0.36226207512490294,0.8896035880663467
4,0.3219907891560108,0.8910518251738606
5,0.30408620713873113,0.8977844902970535
6,0.29159091882249144,0.8956504129184617
7,0.28493173490179347,0.899252697479155
8,0.2797275415760406,0.9016966091515314
9,0.27362284457429925,0.9015461140346888
10,0.2702143977931205,0.9008490409073457
11,0.26578402709453663,0.90261218351833
12,0.2660433758446511,0.9046399206926891
13,0.26171364194535196,0.9027081225246689
14,0.25972456285294065,0.9045518530426432
15,0.2579931269300745,0.9050850610763104
16,0.2578598289413655,0.9054449503217333
17,0.2552218234919487,0.9051552562770403
18,0.25513842904821354,0.9063278085957343
19,0.2513349582540228,0.9053456172440416
20,0.2540032444482154,0.9056127667197936
