epoch,train_loss,val_metric
1,2.795868586091434,0.07428791377983064
2,2.6116473183912388,0.20207852193995382
3,2.3356579962898705,0.38953040800615857
4,2.116322927615222,0.50846805234796
5,1.9558826755074894,0.5334872979214781
6,1.836734182694379,0.5492686682063126
7,1.754261125536526,0.5619707467282525
8,1.691207938334521,0.5739030023094688
9,1.6447459599551033,0.5842956120092379
10,1.6041720439406002,0.5939183987682833
11,1.57085584191715,0.6035411855273287
12,1.5423249567256254,0.6139337952270978
13,1.516335080651676,0.6170130869899924
14,1.5011115810450386,0.6243264049268669
15,1.4819198671509237,0.6301000769822941
16,1.467513200114755,0.6347190146266358
17,1.4629632374819588,0.6354888375673595
18,1.4527031288427465,0.6358737490377213
19,1.448060039211722,0.636643571978445
20,1.443498176686904,0.6374133949191686
