epoch,train_loss,val_metric
1,0.891405687433608,0.60726016852504
2,0.6007703914287242,0.7271119266111932
3,0.4941715771847583,0.7849687364291702
4,0.4488036170918891,0.8150953266364875
5,0.42404920763157783,0.82335080318203
6,0.40713151756753313,0.8368583811938874
7,0.3957145148135246,0.8405862555265005
8,0.3847047897095376,0.8440776549330932
9,0.3782221884169477,0.848914822986882
10,0.3716021681085546,0.8510346566855714
11,0.36775098106962567,0.8510057170578113
12,0.3633918311367644,0.8542145891384278
13,0.3615570455155474,0.8556937077725139
14,0.35938125785360947,0.857241641637446
15,0.3573517793036522,0.8562375926796079
16,0.3558020051489485,0.8574655494842447
17,0.35351497315345926,0.8581645486428943
18,0.35287802479368574,0.8588109469127452
19,0.3532647074537074,0.8592886304121892
20,0.35399648946650486,0.8593556183440595
