epoch,train_loss,val_metric
1,0.9525852677669931,0.6023762554797942
2,0.5442716660651755,0.8036028078321341
3,0.40153873359903375,0.8639600911276426
4,0.36095761174851276,0.8772770010859661
5,0.3403411758072833,0.8820321816508595
6,0.32660928114931637,0.8836712797178358
7,0.3185304088161347,0.8876262732341825
8,0.3111830931394658,0.8896193742045846
9,0.30539515912532805,0.8894290148258162
10,0.29899721320005174,0.8915757187140531
11,0.295696614397333,0.8934755303223756
12,0.29317161047712287,0.8926869883910614
13,0.2880709025295491,0.8943558041470758
14,0.2869197683765533,0.8948505372891925
15,0.28673469145247277,0.8954182282864123
16,0.2832905201201743,0.8961544552856594
17,0.28254299556955376,0.89553581129405
18,0.27978789876116084,0.8961522419906238
19,0.2814397749114544,0.8955019097367004
