epoch,train_loss,val_metric
1,2.621843422160429,0.1697459584295612
2,2.4836713426253376,0.39145496535796764
3,2.270168528837316,0.4661277906081601
4,2.1029892178142773,0.49191685912240185
5,1.9791836072416866,0.5111624326404927
6,1.8869197789360495,0.5323325635103926
7,1.8069856797947603,0.5531177829099307
8,1.7426569496884066,0.5746728252501925
9,1.687065650435055,0.5919938414164743
10,1.6388339645722334,0.6031562740569669
11,1.5995850422803093,0.6093148575827559
12,1.5633679172571968,0.6170130869899924
13,1.532714440542109,0.6277906081601232
14,1.5071885726031136,0.6320246343341032
15,1.4871327175813562,0.6354888375673595
16,1.469716233365676,0.6401077752117013
17,1.4563209975467009,0.6424172440338722
18,1.4460998633328606,0.6451116243264049
19,1.4400780551573809,0.6478060046189377
20,1.4339558622416329,0.6481909160892995
