epoch,train_loss,val_metric
1,2.6836010568282185,0.07082371054657428
2,2.522671040366678,0.3506543494996151
3,2.243612626019646,0.422247882986913
4,2.0451936686740204,0.4630484988452656
5,1.9164232506471521,0.5073133179368745
6,1.8178416700924145,0.5492686682063126
7,1.7391556115711437,0.573518090839107
8,1.6749347728841446,0.5931485758275596
9,1.6187191395198597,0.6123941493456505
10,1.572729790911955,0.6243264049268669
11,1.5324522537343643,0.6335642802155504
12,1.4986314422944014,0.6447267128560431
13,1.4700315840104048,0.6535796766743649
14,1.4442267908769495,0.6581986143187067
15,1.4227866390172172,0.6624326404926867
16,1.4085159021265365,0.6674364896073903
17,1.3962844540091122,0.6689761354888376
18,1.3854209395015942,0.6716705157813703
19,1.3802782998365515,0.672440338722094
20,1.375859558582306,0.6732101616628176
